# Original image name: 39-58 top 5kx.tif 
# Pixel Size = 0.02392 um / pixel 
# Modulus [um], Orientation [deg], Height [um]
1.30249,224.25594,1.83957
2.15612,273.17983,3.04520
1.13664,81.52886,1.60534
1.22203,86.63354,1.72593
0.95740,77.00538,1.35218
0.86278,136.12330,1.21855
2.63858,135.00000,3.72660
1.98233,289.74684,2.79975
0.50742,45.00000,0.71665
2.58790,224.62552,3.65502
1.28546,225.00000,1.81553
2.04666,134.52649,2.89061
1.11632,225.00000,1.57664
0.67359,163.49564,0.95135
0.67656,135.00000,0.95554
0.60890,45.00000,0.85999
2.47523,311.08175,3.49589
0.98101,135.00000,1.38553
2.62172,44.63035,3.70279
0.33828,45.00000,0.47777
0.40594,315.00000,0.57332
0.30445,45.00000,0.42999
1.18398,45.00000,1.67219
1.01484,135.00000,1.43331
1.21781,315.00000,1.71997
2.80772,315.00000,3.96549
0.94718,225.00000,1.33776
1.01484,45.00000,1.43331
0.84570,135.00000,1.19442
1.91136,315.50703,2.69951
0.74422,45.00000,1.05109
1.82671,225.00000,2.57996
2.13116,225.00000,3.00995
0.42319,47.29061,0.59769
1.03189,135.93919,1.45739
0.60890,45.00000,0.85999
2.23265,315.00000,3.15328
1.25164,225.00000,1.76775
1.01484,315.00000,1.43331
1.42078,135.00000,2.00663
2.48641,225.38976,3.51169
1.40396,135.69028,1.98289
2.26648,135.00000,3.20106
2.19882,135.00000,3.10550
0.91336,315.00000,1.28998
0.72750,316.33222,1.02748
1.91420,181.43210,2.70352
1.09954,45.88140,1.55294
1.74632,179.21518,2.46642
1.37014,314.29268,1.93512
1.08250,315.00000,1.52886
1.11632,315.00000,1.57664
0.43976,315.00000,0.62110
1.31929,225.00000,1.86330
1.13336,135.85510,1.60071
1.03189,135.93919,1.45739
1.42078,135.00000,2.00663
3.14600,315.00000,4.44326
2.63858,135.00000,3.72660
1.55609,225.00000,2.19774
1.26866,315.76390,1.79180
2.36796,315.00000,3.34439
2.36796,45.00000,3.34439
0.98101,135.00000,1.38553
1.11632,45.00000,1.57664
0.91336,315.00000,1.28998
2.19882,315.00000,3.10550
2.57093,135.00000,3.63105
1.40396,224.30972,1.98289
1.04921,155.77225,1.48186
1.77605,224.45434,2.50841
2.21580,134.56264,3.12948
2.63858,135.00000,3.72660
2.67241,225.00000,3.77438
1.55609,315.00000,2.19774
2.58790,135.37448,3.65502
0.43976,315.00000,0.62110
1.15015,315.00000,1.62442
0.81187,135.00000,1.14665
2.67241,135.00000,3.77438
0.64273,45.00000,0.90776
1.31124,345.20324,1.85194
0.79514,223.78112,1.12301
2.45259,315.39514,3.46391
2.30030,315.00000,3.24883
2.01284,44.51853,2.84283
1.01484,135.00000,1.43331
1.81808,179.24615,2.56776
2.23265,135.00000,3.15328
2.40179,45.00000,3.39217
0.00000,180.00000,0.00000
1.25164,135.00000,1.76775
0.23680,225.00000,0.33444
2.70624,225.00000,3.82216
2.41876,134.59934,3.41614
2.62172,44.63035,3.70279
2.46944,225.00000,3.48772
2.21580,134.56264,3.12948
1.26866,225.76390,1.79180
0.99807,134.02898,1.40962
0.79514,136.21888,1.12301
1.25164,225.00000,1.76775
0.62605,46.54816,0.88420
2.87538,135.00000,4.06104
0.98101,225.00000,1.38553
1.11632,225.00000,1.57664
1.58992,135.00000,2.24552
0.81187,45.00000,1.14665
1.31929,315.00000,1.86330
3.61224,0.75884,5.10174
0.50742,135.00000,0.71665
0.50742,45.00000,0.71665
1.91136,224.49297,2.69951
0.84570,45.00000,1.19442
2.43197,129.01185,3.43480
2.74007,45.00000,3.86994
2.68938,315.36035,3.79835
0.81187,315.00000,1.14665
1.03189,135.93919,1.45739
0.72750,316.33222,1.02748
1.60763,226.80874,2.27054
0.77804,45.00000,1.09887
1.93737,122.90524,2.73625
1.25574,130.36454,1.77355
2.21580,314.56264,3.12948
1.20197,264.28941,1.69760
2.70338,91.01398,3.81813
0.95800,267.13759,1.35303
