# Original image name: 39-70 top 5kx.tif 
# Pixel Size = 0.02392 um / pixel 
# Modulus [um], Orientation [deg], Height [um]
2.82266,89.51445,3.98659
4.30620,89.04516,6.08186
1.17817,275.82634,1.66398
1.36428,87.99045,1.92684
0.55842,223.26430,0.78868
0.50742,135.00000,0.71665
3.15753,282.24633,4.45954
0.32181,48.01279,0.45451
1.67952,63.79989,2.37207
1.64074,134.40934,2.31731
1.08250,45.00000,1.52886
1.28546,45.00000,1.81553
2.07705,298.92643,2.93352
1.35312,135.00000,1.91108
1.75906,225.00000,2.48440
1.40396,224.30972,1.98289
2.35111,315.41219,3.32059
2.53563,180.54051,3.58120
0.87953,225.00000,1.24220
1.64074,315.59066,2.31731
0.59223,316.63658,0.83644
1.75906,135.00000,2.48440
2.18197,44.55586,3.08171
0.35560,42.27369,0.50223
1.55112,162.96223,2.19072
1.01484,225.00000,1.43331
0.50742,135.00000,0.71665
1.89437,225.00000,2.67551
1.42078,135.00000,2.00663
1.96202,135.00000,2.77106
1.82671,315.00000,2.57996
1.96202,135.00000,2.77106
1.74222,44.44375,2.46063
1.48843,225.00000,2.10219
1.74222,44.44375,2.46063
1.31929,225.00000,1.86330
0.43976,45.00000,0.62110
2.33413,225.00000,3.29661
2.13116,135.00000,3.00995
0.67656,135.00000,0.95554
1.09954,45.88140,1.55294
1.25164,315.00000,1.76775
0.54125,315.00000,0.76443
0.94718,225.00000,1.33776
0.87953,315.00000,1.24220
1.18398,225.00000,1.67219
1.18398,45.00000,1.67219
1.15015,225.00000,1.62442
2.24962,134.56921,3.17726
0.98334,41.05481,1.38882
1.11632,225.00000,1.57664
1.43779,135.67404,2.03066
0.87953,135.00000,1.24220
1.16719,135.83032,1.64848
1.80988,224.46454,2.55618
1.25164,45.00000,1.76775
0.65986,223.53120,0.93196
2.13116,315.00000,3.00995
0.99807,44.02898,1.40962
0.67656,45.00000,0.95554
1.30249,45.74406,1.83957
0.67656,45.00000,0.95554
1.48843,135.00000,2.10219
0.74422,225.00000,1.05109
0.82896,313.83086,1.17078
0.93073,25.90651,1.31452
0.84570,135.00000,1.19442
0.54125,45.00000,0.76443
1.84370,315.52563,2.60396
0.23680,315.00000,0.33444
0.98101,135.00000,1.38553
0.37211,135.00000,0.52555
1.84370,315.52563,2.60396
1.96202,135.00000,2.77106
1.62374,225.00000,2.29330
0.71039,225.00000,1.00332
0.98101,225.00000,1.38553
0.86278,136.12330,1.21855
0.94355,149.53446,1.33263
0.64273,135.00000,0.90776
1.53927,315.62960,2.17398
2.16499,135.00000,3.05773
2.40179,315.00000,3.39217
2.04666,225.47351,2.89061
0.84570,135.00000,1.19442
3.07835,135.00000,4.34771
0.96425,313.99491,1.36185
1.97901,134.51030,2.79506
0.25427,221.18593,0.35912
1.96319,136.97493,2.77271
1.72523,225.00000,2.43663
1.47161,224.34146,2.07844
2.30030,135.00000,3.24883
0.94718,135.00000,1.33776
1.50544,135.64375,2.12621
1.62374,225.00000,2.29330
1.58992,135.00000,2.24552
1.96202,45.00000,2.77106
0.84570,315.00000,1.19442
1.08250,135.00000,1.52886
0.67656,135.00000,0.95554
0.64273,135.00000,0.90776
0.89660,136.08092,1.26632
0.62605,223.45184,0.88420
0.82896,223.83086,1.17078
0.57508,315.00000,0.81221
0.38939,137.48955,0.54995
2.16499,135.00000,3.05773
0.72750,226.33222,1.02748
1.96202,225.00000,2.77106
1.08250,225.00000,1.52886
1.45460,45.00000,2.05441
1.38695,45.00000,1.95886
1.03189,314.06081,1.45739
0.47359,135.00000,0.66888
0.27895,239.03624,0.39398
1.35312,225.00000,1.91108
1.67457,45.57873,2.36508
0.82896,136.16914,1.17078
0.87953,45.00000,1.24220
2.53710,315.00000,3.58327
0.55842,46.73570,0.78868
1.55609,45.00000,2.19774
0.64273,45.00000,0.90776
1.04867,225.00000,1.48109
1.48843,225.00000,2.10219
0.87953,135.00000,1.24220
0.79514,313.78112,1.12301
2.02968,315.00000,2.86662
0.43976,135.00000,0.62110
2.24962,134.56921,3.17726
0.64273,135.00000,0.90776
0.30445,315.00000,0.42999
0.50742,45.00000,0.71665
1.11632,225.00000,1.57664
0.74422,135.00000,1.05109
1.18398,225.00000,1.67219
1.87753,135.51616,2.65173
1.05085,191.82149,1.48417
0.82896,46.16914,1.17078
0.94718,225.00000,1.33776
0.91336,45.00000,1.28998
1.28546,45.00000,1.81553
1.75906,225.00000,2.48440
0.81187,45.00000,1.14665
1.38695,45.00000,1.95886
1.37014,45.70732,1.93512
2.02968,45.00000,2.86662
0.43976,225.00000,0.62110
0.98101,45.00000,1.38553
2.50327,135.00000,3.53550
1.52226,315.00000,2.14996
1.21781,45.00000,1.71997
1.15015,315.00000,1.62442
1.53927,224.37040,2.17398
0.96425,313.99491,1.36185
1.45460,315.00000,2.05441
1.79288,45.00000,2.53218
1.42078,135.00000,2.00663
2.36421,27.08355,3.33909
0.67656,315.00000,0.95554
2.50327,45.00000,3.53550
1.96202,45.00000,2.77106
1.26866,44.23610,1.79180
0.98101,315.00000,1.38553
1.11632,45.00000,1.57664
1.18398,45.00000,1.67219
1.40396,246.92959,1.98289
1.52226,45.00000,2.14996
1.12729,252.71850,1.59213
1.70303,259.47922,2.40528
2.05726,90.66620,2.90557
0.77140,262.87498,1.08948
1.10680,96.20345,1.56319
1.10136,92.48955,1.55551
1.05275,268.69805,1.48685
